open,high,low,close,volume
98482.97,98680.88,98188.46,98307.59,1379.985988
98307.59,98548.77,98013.94,98168.23,1186.067115
98168.23,98313.57,97836.96,97883.04,1371.121474
97883.04,97925.84,97224.77,97462.79,1893.691205
97462.79,97633.65,95338.97,95393.97,2494.771702
95393.97,96507.69,94585.07,95997.55,3041.379309
95997.55,96499.54,95685.82,95907.07,1780.478023
95907.07,95914.77,94825.0,95233.24,1651.543428
95233.24,95925.05,94843.36,95149.0,1208.446639
95149.0,95290.42,94403.33,94656.64,1324.541419
94656.64,95310.28,94500.0,94965.98,1164.051419
94965.98,95184.94,93565.8,93751.48,1698.501786
93751.48,94406.94,92600.0,94386.19,1461.803503
94386.19,94399.5,92792.76,92970.66,2188.032076
92970.66,94341.3,92712.0,93796.33,2490.838586
93796.33,94853.76,93755.1,94849.39,2079.269249
94849.39,94915.95,94403.87,94576.85,1378.759492
94576.85,94698.6,94230.66,94463.64,1438.466034
94463.64,94539.35,94054.0,94293.43,1425.797945
94293.43,94671.43,94172.65,94634.06,1317.426566
94634.06,94998.05,94429.97,94484.83,1472.172715
94484.83,94506.09,93480.57,93773.68,1663.275047
93773.68,93774.58,92288.96,93130.55,2376.156864
93130.55,93720.21,93046.77,93511.44,1580.332933
93511.44,93745.53,92260.68,92316.03,1846.449537
92316.03,92676.04,91439.95,92338.57,2601.454636
92338.57,92659.32,91780.72,92141.01,1489.125611
92141.01,92909.86,91904.7,92168.6,1479.619558
92168.6,93524.82,91734.84,93265.5,2004.664821
93265.5,93559.92,92304.0,92812.17,1856.02017
92812.17,94680.48,92684.43,94041.15,1703.063285
94041.15,94052.4,93431.13,93556.4,1406.04824
93556.4,93637.12,91985.56,92124.06,1723.829
92124.06,92674.46,91564.68,91674.63,1685.9027
91674.63,92043.44,90777.61,91045.12,2105.649791
91045.12,91927.47,90847.16,91696.5,1177.75645
91696.5,92359.35,91535.34,91815.01,620.868113
91815.01,92062.91,91576.5,91956.47,966.606613
91956.47,92432.06,91784.81,91937.45,1766.058982
91937.45,92809.49,91809.41,92755.91,2023.476495
92755.91,93049.76,92298.06,92932.59,1581.843168
92932.59,92954.41,92508.94,92589.17,1696.024479
92589.17,93210.75,92499.99,92566.26,1733.416869
92566.26,92814.39,92352.72,92757.48,1335.282389
92757.48,93412.88,92757.48,93053.42,1519.701644
93053.42,93639.16,93006.78,93585.1,1302.443536
93585.1,93602.98,93237.19,93437.43,1457.574974
93437.43,93497.33,93100.0,93395.66,1065.713488
93395.66,93881.37,93347.56,93807.55,1178.286645
93807.55,93823.42,93300.0,93367.37,1011.461875
93367.37,93512.16,92846.85,93499.4,1353.396799
93499.4,94266.32,93408.87,94266.31,1454.464288
94266.31,94905.64,94115.51,94843.73,1904.364042
94843.73,95863.08,94307.12,95562.72,1994.795934
95562.72,96348.63,95172.01,95676.62,2069.463935
95676.62,96300.86,95313.46,96232.91,1296.239759
96232.91,96550.93,96006.58,96111.61,1447.049505
96111.61,96633.2,95886.08,96621.21,1203.535494
96621.21,97205.49,96287.61,96485.04,1666.515133
96485.04,96582.73,96043.42,96264.15,1165.299606
96264.15,96516.18,96021.04,96037.57,624.364368
96037.57,96174.96,95719.36,95840.17,867.250239
95840.17,96561.44,95711.55,96541.37,1233.345009
96541.37,96550.73,96075.95,96267.34,1031.711344
96267.34,96435.45,95617.48,95697.93,1147.310297
95697.93,95793.18,94810.0,95473.19,1298.391498
95473.19,95825.0,95339.71,95735.12,945.764189
95735.12,95910.7,95331.09,95439.85,903.020156
95439.85,95712.2,95064.01,95484.48,1071.065644
95484.48,95767.0,95205.76,95308.74,974.43882
95308.74,95626.6,95076.07,95441.86,1367.699114
95441.86,95513.27,94939.35,94967.17,1272.352359
94967.17,95153.49,94633.16,94952.0,1627.39583
94952.0,96000.0,94757.83,95461.82,1965.614166
95461.82,95687.77,95207.64,95488.83,1454.97248
95488.83,95786.29,95026.06,95705.82,1768.037957
95705.82,96212.74,95365.94,95387.41,1806.434319
95387.41,95509.22,94875.0,94988.52,1591.397181
94988.52,95316.47,94802.61,94952.72,979.074522
94952.72,95253.84,94823.62,94874.57,726.511656
94874.57,95348.52,94850.53,95298.01,469.324939
95298.01,95444.4,95023.93,95120.93,568.501633
95120.93,95139.32,94698.75,94816.45,662.595873
94816.45,95176.75,94799.06,95113.45,677.282851
95113.45,95651.72,95012.21,95651.72,400.326803
95651.72,96016.66,95522.42,95643.21,1008.131615
95643.21,95821.74,95358.95,95469.04,1394.015801
95469.04,95968.63,95405.43,95904.7,1293.728013
95904.7,96855.6,95895.83,96743.93,1544.769748
96743.93,96810.81,96431.77,96582.52,1224.571229
96582.52,96617.35,96226.06,96257.47,850.906181
96257.47,96525.18,96144.41,96159.13,752.146256
96159.13,96365.16,95983.68,96256.23,949.604967
96256.23,96414.35,95588.24,95612.72,1117.966131
95612.72,95997.97,95608.68,95967.58,940.976373
95967.58,96468.54,95852.51,96351.35,778.051057
96351.35,96843.89,96281.07,96836.77,988.639138
96836.77,97363.48,96535.11,97235.37,1004.029252
97235.37,97499.85,96876.84,96918.19,1023.52769
96918.19,97276.96,96760.01,97239.77,1008.376897
97239.77,98048.53,96908.15,97992.73,1467.777488
97992.73,98623.43,97672.42,97989.36,2122.776881
97989.36,98424.12,97681.17,97784.99,1429.81462
97784.99,97811.77,96937.09,96957.44,1213.140522
96957.44,97353.43,96839.19,97178.27,580.975069
97178.27,97429.77,96864.37,97334.29,531.974267
97334.29,97652.47,97188.07,97318.12,779.008443
97318.12,97443.85,96990.01,97379.78,430.983033
